Ticker,Company Name,2015,2014,2013,2012,2011,2010,2009,2008
CF,CF Industries Holdings Inc.,9511.8,13173.2,13014.8,12789.1,9484.7,9631.7,4409.2,2379
CFC,Countrywide Financial Corp.,,,,,,,,
CFN,Carefusion,,12129.1,8517.5,6210.4,5679.1,5713.1,5552.2,
CHD,Church & Dwight Co,11129.7,10509.5,9210.6,7434.5,6511.1,4914.6,4264.7,3932.5
CHK,Chesapeake Energy,2992.8,12981.4,18026.1,11041,14696.6,16945.9,16761.8,9820
CHRW,C. H. Robinson Worldwide,8914.9,10968.2,8764,10199.1,11404.9,13315.4,9813.7,9379.1
CI,Cigna Corp.,37694.6,26682.1,24103,15280.4,11992.4,9967.1,9673,4567
CIEN,Ciena Corp.,,2076.5,2481.7,1579.5,1179,1980,997.7,606.2
CINF,Cincinnati Financial,9695.1,8484.6,8536.3,6383.1,4934.5,5133.8,4250.9,4709.3
CIT,CIT Group Inc.,,,,,,,,1713.4
CL,Colgate-Palmolive,59752.9,62735.4,59989.7,48910.5,44348.9,39771.1,40595.7,34366.8
CLF,Cliffs Natural Resources,,1094.2,4013.4,5496.1,8855.1,10567,6036.5,2907
CLX,The Clorox Company,16372.6,13648.3,12045.5,9581.7,8632.4,8708,8554.6,7724
CMA,Comerica Inc.,7392.8,8385.2,8666.7,5712.3,5091.2,7456.8,4470.4,2987.2
CMCSA,Comcast Class A Comm.,137489.8,150547.6,136431,98611.7,64607.1,61000.7,49274.8,48625.9
CME,CME Group Inc.,30643.9,29738.1,26194.3,16814.1,16114.1,21509,22346,13822.7
CMG,Chipotle Mexican Grill,14965.6,21238.3,16533.8,9248.9,10555.1,6608.2,2775.5,1994.9
CMI,Cummins Inc.,15632.4,26109.2,26135.8,20402.3,16741.4,21529,9094,5244.4
CMS,CMS Energy,10025.9,9562.6,7124.5,6438.1,5610.5,4643.1,3568.9,2288.9
CNP,CenterPoint Energy,7899.6,10074.9,9944.2,8239,8558.3,6681,5673.4,4366.5
CNX,Consol Energy Inc.,1809.5,7785.3,8716.7,7321.8,8333,11023.1,9018.1,5160.1
